id,reserve0,reserve1,reserveUSD,token0,token1,symbol1,symbol2
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,17386.744104231643111178,62320425.17271,124710546.373,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,WETH,USDT
0x517f9dd285e75b599234f7221227339478d0fcc8,57457672.765390994460577152,21564.731711704237305122,114853449.022,0x6b175474e89094c44da98b954eedeac495271d0f,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,DAI,MKR
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,46484618.037459,12958.812838806423315291,92950155.84,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,WETH
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,2589557437001.153527342283105537,5189.764299182653980178,37228639.771,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PEPE,WETH
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,7758760.726944427370464757,2156.345900317710353562,15478687.2,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,104.4151422,1933.903553997782452414,13903165.282,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH
0x25647e01bd0967c1b9599fa3521939871d1d0888,1446.60720066561853286,4309256.89432746754209873,10382893.408,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,WETH,SUPER
0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,10687276.249797422223850032,1355.902940140889153578,9727547.307,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WOO,WETH
0xd3d2e2692501a5c9ca623199d38826e513033a17,285846.163558042133602233,966.07501589000567307,6949678.474,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,UNI,WETH
0xc7e6b676bfc73ae40bcc4577f22aab1682c691c6,45030837.643351447,772.736406205662475695,5542731.622,0x4507cef57c46789ef8d1a19ea45f4216bae2b528,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,TOKEN,WETH
0x8c1c499b1796d7f3c2521ac37186b52de024e58c,1075466.009463947712116745,2505091.629836,5013341.283,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,RAD,USDC
0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2085690.327094,2092361.032005,4178348.377,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT
0xc0067d751fb1172dbab1fa003efe214ee8f419b6,14336332.65657561,572.320056557699455588,4107179.055,0x4206931337dc273a630d328da6441786bfad668f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DOGE,WETH
0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,110968.466314026342078294,564.977553850141313471,4052851.848,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LINK,WETH
0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79,6785789.62080062028265796,543.929663428547041769,3901464.402,0x18aaa7115705e8be94bffebde57af9bfc265b998,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,AUDIO,WETH
0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,4008954.530590461620103682,482.998572179244973282,3465182.33,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,OM,WETH
0xf4acdac048c14c5e49bbede0c72444d806a75cde,6489341.298102611594118454,462.177327525492827104,3315835.804,0x8de5b80a0c1b02fe4976851d030b36122dbb8624,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,VANRY,WETH
0xfcd13ea0b906f2f87229650b8d93a51b2e839ebd,11181552.38590891,1601134.982763,3216299.878,0x4206931337dc273a630d328da6441786bfad668f,0xdac17f958d2ee523a2206206994597c13d831ec7,DOGE,USDT
0xc2adda861f89bbb333c90c492cb837741916a225,416.845485868375095049,309.892061776999600531,2223819.6,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MKR,WETH
0x9b7dad79fc16106b47a3dab791f389c167e15eb0,1053374.79942792060534801,299.103230651375270424,2146755.526,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,OCEAN,WETH
0xf07c735011c311f55425bf8c534471a0410d85ad,4503513486.098098469704710146,259.620880069370158229,1894714.9,0x85614a474dbeed440d5bbdb8ac50b0f22367f997,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,XVG,WETH
0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,1315633.351250573693161797,230.0335063060951538,1653881.713,0x3845badade8e6dff049820680d1f14bd3903a5d0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SAND,WETH
0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,772406.231821250190331479,771725.998442,1542379.309,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC
0xa40bb1c47f6dd27142a2bd7c93bfa98db9d1f5c5,171939.853307347482095737,730026.459037,1460282.156,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,MASK,USDC
0xc0a6bb3d31bb63033176edba7c48542d6b4e406d,66669.073507797466210788,190.7461175605190571,1368815.169,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,RNDR,WETH
0xcd7989894bc033581532d2cd88da5db0a4b12859,9.40081933,128263.475844948082415963,1250194.077,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x3472a5a71965499acd81997a54bba8d852c6e53d,WBTC,BADGER
0x819f3450da6f110ba6ea52195b3beafa246062de,590931.173869749727736215,173.167109444265767804,1243028.551,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MATIC,WETH
